Date,spectral_radius,stable
2023-11-30,0.9826019863050829,True
2023-12-01,0.9630101541567219,True
2023-12-04,0.9549023806267899,True
2023-12-05,0.9776008010697493,True
2023-12-06,0.9727921216654157,True
2023-12-07,0.9652219225082536,True
2023-12-08,0.9615012775978967,True
2023-12-11,0.9586473180392098,True
2023-12-12,0.9718215860596732,True
2023-12-13,0.9691619800015172,True
2023-12-14,0.9664821559346553,True
2023-12-15,0.9681518326691557,True
2023-12-18,0.968303470672122,True
2023-12-19,0.9650231063725655,True
2023-12-20,0.9664760044505979,True
2023-12-21,0.9701401477346483,True
2023-12-22,0.9675479092500181,True
2023-12-25,0.9773578421966412,True
2023-12-26,1.0159182098817647,False
2023-12-27,1.0055497590099391,False
2023-12-28,0.9982409317397526,True
2023-12-29,1.0225426766199701,False
2024-01-02,1.0293650773178786,False
2024-01-03,1.0149068606300837,False
2024-01-04,1.012728784863582,False
2024-01-05,1.0067996887117674,False
2024-01-08,0.9960996217228748,True
2024-01-09,0.9977159096369953,True
2024-01-10,0.9963240876392863,True
2024-01-11,0.9893148150768799,True
2024-01-12,0.991692177437704,True
2024-01-15,0.9960990691983105,True
2024-01-16,0.9952205026259348,True
2024-01-17,0.9900514364145145,True
2024-01-18,0.9881844808606988,True
2024-01-19,0.9853867963755143,True
2024-01-22,0.9845664101457445,True
2024-01-23,0.9868175297813038,True
2024-01-24,0.9859662290782859,True
2024-01-25,0.9831021711439204,True
2024-01-26,0.9812345796914906,True
2024-01-29,0.980919482670389,True
2024-01-30,0.979187194264618,True
2024-01-31,0.9799547339210268,True
2024-02-01,0.9800995525345181,True
2024-02-02,0.9810160294036743,True
2024-02-05,0.97978197065391,True
2024-02-06,0.9791035225914343,True
2024-02-07,0.9786131943010571,True
2024-02-15,0.977984717161391,True
2024-02-16,0.9791626666925574,True
2024-02-19,0.9806014010564044,True
2024-02-20,0.9824885229709914,True
2024-02-21,0.9833069966590837,True
2024-02-22,0.981426582369711,True
2024-02-23,0.9828303171653158,True
2024-02-26,0.9798223737715684,True
2024-02-27,0.9786765510374423,True
2024-02-28,0.9782823032821965,True
2024-02-29,0.9785947959033021,True
